ts,role,pid,cpu_pct,rss_kb,pss_kb,private_dirty_kb,threads,fd_count
1782046250098,streamd,2098436,0.00,57812,51786,19876,2,6
1782046250098,qemu,2098448,0.00,4355876,4345706,4239720,13,115
1782046251133,streamd,2098436,0.00,57812,51794,19876,2,6
1782046251133,qemu,2098448,4.83,4355876,4345905,4239720,13,115
1782046252169,streamd,2098436,0.00,57812,51792,19876,2,6
1782046252169,qemu,2098448,6.76,4355876,4345905,4239720,13,115
1782046253206,streamd,2098436,0.00,57812,51796,19876,2,6
1782046253206,qemu,2098448,7.71,4355876,4345903,4239720,13,115
1782046254245,streamd,2098436,0.00,57812,51794,19876,2,6
1782046254245,qemu,2098448,5.77,4355876,4345906,4239720,13,115
1782046255282,streamd,2098436,0.00,57812,51793,19876,2,6
1782046255282,qemu,2098448,7.71,4355876,4345903,4239720,13,115
1782046256320,streamd,2098436,0.00,57812,51792,19876,2,6
1782046256320,qemu,2098448,5.78,4355876,4345903,4239720,13,115
1782046257358,streamd,2098436,0.00,57812,51796,19876,2,6
1782046257358,qemu,2098448,7.71,4355876,4345905,4239720,13,115
1782046258395,streamd,2098436,0.00,57812,51793,19876,2,6
1782046258395,qemu,2098448,6.75,4355876,4345903,4239720,13,115
1782046259432,streamd,2098436,0.00,57812,51796,19876,2,6
1782046259432,qemu,2098448,6.75,4355876,4345905,4239720,13,115
1782046260469,streamd,2098436,0.00,57812,51797,19876,2,6
1782046260469,qemu,2098448,7.71,4355876,4345903,4239720,13,115
1782046261506,streamd,2098436,0.00,57812,51796,19876,2,6
1782046261506,qemu,2098448,10.61,4355876,4345905,4239720,13,115
1782046262545,streamd,2098436,0.00,57812,51796,19876,2,6
1782046262545,qemu,2098448,25.02,4355876,4345905,4239720,13,115
1782046263586,streamd,2098436,0.00,57812,51792,19876,2,6
1782046263586,qemu,2098448,36.50,4355876,4345905,4239720,13,115
1782046264624,streamd,2098436,0.00,57812,51783,19876,2,6
1782046264624,qemu,2098448,15.41,4355876,4345704,4239720,13,115
1782046265667,streamd,2098436,0.00,57812,51793,19876,2,6
1782046265667,qemu,2098448,69.99,4355876,4345903,4239720,13,115
1782046266709,streamd,2098436,0.00,57812,51796,19876,2,6
1782046266709,qemu,2098448,51.82,4355876,4345919,4239736,13,115
1782046267749,streamd,2098436,0.00,57812,51795,19876,2,6
1782046267749,qemu,2098448,13.46,4355876,4345921,4239736,13,115
1782046268786,streamd,2098436,0.00,57812,51797,19876,2,6
1782046268786,qemu,2098448,7.71,4355876,4345921,4239736,13,115
